"","achievement_count","athlete_count","athlete.id","athlete.resource_state","average_speed","comment_count","commute","distance","elapsed_time","elev_high","elev_low","end_latlng1","end_latlng2","external_id","flagged","gear_id","has_heartrate","has_kudoed","id","kudos_count","location_city","location_country","location_state","manual","map.id","map.resource_state","map.summary_polyline","max_speed","moving_time","name","photo_count","private","resource_state","start_date","start_date_local","start_latitude","start_latlng1","start_latlng2","start_longitude","timezone","total_elevation_gain","total_photo_count","trainer","type","upload_id","workout_type","hum"
"21",5,1,"11307443",1,12.1176,0,"FALSE",8.3688,3057,174.7,138.6,38.65,-90.3,"A683FB47-E180-4408-B3C2-16B6CFFAC1E1","FALSE","g1762053","FALSE","FALSE","732179664",0,"Saint Louis","United States","Missouri","FALSE","a732179664",2,"wh{jFbvcfPdHs}AjHgGr@wGaCoNz@mMlGmQ|FiBtAoPxEiH|CzAhJqCbJtEfIStIgDbIrBhBjN_@rHoMu@mAx\|CnRyBxAYlEpArDTnIoAf@bDpZaAjQqAb@UfVuAzLwBrAD~C_OvOeZcC}d@}K",32.76,2486,"Morning Run",0,"FALSE",2,"2016-10-02T15:03:17Z","2016-10-02T10:03:17Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",50.6,0,"FALSE","Run","807229757",NA,0
"22",4,1,"11307443",1,12.2832,0,"FALSE",8.4242,3139,176.2,138.8,38.65,-90.3,"F499A607-CD8D-48AC-BC06-D9EB8A52443B","FALSE","g1762053","FALSE","FALSE","729024947",1,"Saint Louis","United States","Missouri","FALSE","a729024947",2,"_g{jFfzcfPxo@tMl\|CjCmB}@oTpBgAYgCvD}Wu@yGvA_@x@aS{A{ILqRkBiJPmFzBeB{CkRz@uXz@eE~KzBCcOaMuJgPdDgJaFuHb@eBpB_DyA_FnHaApOcGxBoGvPu@bOxBfOoJ|PyGj|A",18,2469,"Lunch Run",0,"FALSE",2,"2016-09-29T16:50:25Z","2016-09-29T11:50:25Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",54.2,0,"FALSE","Run","803676394",NA,0
"23",6,1,"11307443",1,12.438,1,"FALSE",8.5743,3030,175.8,139,38.65,-90.3,"BDCCCB4A-ADA5-4598-B03E-C2288982A91A","FALSE","g1762053","FALSE","FALSE","725836351",1,"Saint Louis","United States","Missouri","FALSE","a725836351",2,"}g{jFvycfPvo@dN|\~CnC{ARkG_BaH\iDbBu@e@eCxBsI|@iNi@uE|AiAx@aTuAgDg@kP|@}B}BqM\aFpBwAwCoPRwMtAeRtLiHq@oJsIeCoGxCoKd@gFqDaK@mBbByByAqFzGuAnP{FnByGjQq@pNtBdNq@hGwHfIwG`}A",20.16,2482,"32% Humidity Run :::)",0,"FALSE",2,"2016-09-26T16:46:21Z","2016-09-26T11:46:21Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",53.1,0,"FALSE","Run","800004216",NA,0
"24",2,1,"11307443",1,11.898,2,"FALSE",8.5215,3079,176.3,138.6,38.65,-90.3,"7961264E-DA58-40E2-BC26-81C67F47CCD4","FALSE","g1762053","FALSE","FALSE","723895188",1,"Saint Louis","United States","Missouri","FALSE","a723895188",2,"}e{jFtzcfPlk@`Ml`@bD|BuAe@aT`DoGpAyVy@}FxAcA|@qT{AmEPgTmBaK~@sSiAoGP{LrAiRxJdCbA{@cAiV}I}BuRxDkIyEqLpCwBcBgCvBqD~JMbJkFvAyGnQcAlNbCzNqJdRuGl}A",19.8,2578,"83% Humidity Run :::(",0,"FALSE",2,"2016-09-25T02:28:54Z","2016-09-24T21:28:54Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",54.9,0,"FALSE","Run","797770110",NA,0
"25",3,1,"11307443",1,11.7936,1,"FALSE",8.1845,3511,176.1,138.8,38.65,-90.3,"7706BC73-0AF7-4701-BD4C-7687F307128A","FALSE","g1762053","FALSE","FALSE","722161095",1,"Saint Louis","United States","Missouri","FALSE","a722161095",2,"{g{jFtycfP~o@jNj]xC`C{AeA}TzBkBvFeu@?wEyAiDDaV_B}IbAqGuAuTz@iTx@sHtLbBs@mVyIwCaGvC{Jd@wFkDwVvAoCjF_AxOcGxBqGvQq@~LzBpNy@jGiH`HeH`~AlEhC",18,2498,"80% Humidity Run",0,"FALSE",2,"2016-09-23T13:46:52Z","2016-09-23T08:46:52Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",54.4,0,"FALSE","Run","795773908",NA,0
"26",3,1,"11307443",1,12.1392,0,"FALSE",8.7774,2975,176.3,139.1,38.65,-90.3,"EF84130E-8079-49F0-A4E4-AB0A77F5D817","FALSE","g1762053","FALSE","FALSE","717343341",1,"Saint Louis","United States","Missouri","FALSE","a717343341",2,"yg{jFvycfPho@dNl^tCdCiAo@{S`DwGrAuVs@gHjA_@bA}RaBcKEuXmAsBN{FtBuBsCsOZqNlAoQ`MpAPwHuAyL{I_CgQ~D}J{EaLlC{C{AqF`I_AxOeGnBaG|Pw@lNrBlNm@~FqGvFgIjaB",18,2603,"Evening Run",0,"FALSE",2,"2016-09-19T01:15:21Z","2016-09-18T20:15:21Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",54.5,0,"FALSE","Run","790286882",NA,0
"27",5,1,"11307443",1,11.97,0,"FALSE",8.9314,2860,175.7,138.7,38.65,-90.3,"57E4D73E-8483-4C90-A38B-BD266A8542BA","FALSE","g1762053","FALSE","FALSE","715967068",1,"Saint Louis","United States","Missouri","FALSE","a715967068",2,"oe{jFxzcfP`l@zLh^xCxCmAa@uSvCkFxAgXq@sGpAm@v@}RqA{FBqUiBmJToFvBcBqCgPTwMlAgR~LpAy@{U_JqCeS~DsK{EuInCeDwAoEnHsA~OsFbBwGfQ{@nN~BdNq@xGwH~IcGt~A",18,2686,"Evening Run",0,"FALSE",2,"2016-09-18T01:26:44Z","2016-09-17T20:26:44Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",54.3,0,"FALSE","Run","788763410",NA,0
"28",1,1,"11307443",1,11.9736,2,"FALSE",7.0079,3565,175.9,138.7,38.64,-90.28,"B940914D-F478-4330-91DC-BCCA9B511024","FALSE","g1762053","FALSE","FALSE","710893142",1,"Saint Louis","United States","Missouri","FALSE","a710893142",2,"{g{jFfzcfPjo@~Mp]vCfCuAaAqTxBkBlCo\g@iFtAo@~@iTqAuDDqSeBwNPmExBkB}CqPVsLtAuRvJjClA{@YuS_BcCwGuAgGrCwJh@yI_FkLxCsD_A{EdIq@fNaGfCcGhPaAzN|BjMm@dF",16.2,2107,"Morning Run",0,"FALSE",2,"2016-09-13T14:49:51Z","2016-09-13T09:49:51Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",43.5,0,"FALSE","Run","783113981",NA,0
"29",3,1,"11307443",1,12.0744,0,"FALSE",8.8605,3007,176,138.6,38.65,-90.3,"82EEAD9F-4F1F-4406-8DD0-A8B6C8DC16DE","FALSE","g1762053","FALSE","FALSE","709173905",1,"Saint Louis","United States","Missouri","FALSE","a709173905",2,"yf{jFlzcfPlp@xMv[rC|BsAw@aUpBaB~@aInAiSq@wDdBmAv@sSsAkED_UiBgKR}F|BuBwCeOTuQlAqN~LrAk@oUgJaDcRrDyKsE{JnC}CuAwErHcA~NsGxCmGjRm@tLzBnNo@dGgH`GoHh_B",23.76,2642,"Afternoon Run",0,"FALSE",2,"2016-09-11T22:55:42Z","2016-09-11T17:55:42Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",54.1,0,"FALSE","Run","781187036",NA,0
"30",6,1,"11307443",1,11.9052,0,"FALSE",8.4472,3087,176.2,139.2,38.65,-90.3,"F23E1149-9F90-4E0B-9E31-A545177629D6","FALSE","g1762053","FALSE","FALSE","707668179",1,"Saint Louis","United States","Missouri","FALSE","a707668179",2,"qf{jFjzcfPvi@lLvb@bEfBaA\yFmAgNdBkAdAcIpAkSm@cE|Ay@z@mO}BmZ|@eD}BkLZgFxBcB{CkRt@gUn@wHbMdBg@qUaJaDoLnD{e@a@mBtDsAhPyFhByGrRo@rL|B`Nq@vGsH`H{Gf}A",20.16,2554,"Afternoon Run",0,"FALSE",2,"2016-09-10T22:23:15Z","2016-09-10T17:23:15Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",44.1,0,"FALSE","Run","779540987",NA,0
"31",2,1,"11307443",1,11.6964,0,"FALSE",8.1734,3698,176.1,139.2,38.65,-90.31,"DED56A62-9BC3-444C-9EDD-04E6C98ED400","FALSE","g1762053","FALSE","FALSE","704849451",1,"Saint Louis","United States","Missouri","FALSE","a704849451",2,"e}zjF`}cfPjf@bKz[tCpCyA_AiUzBkAc@eCpAuC|AaTu@aEjBcBx@wRwAkFaBic@NuDtBwAyCmQv@eU~@yIrL|ASoPiNsGqQ|BaHkE_LlCsCyAuE~GsAnPgG~BeG~Py@hNzBvMkJrRcHr_BiBrRyBtBItB",18.36,2516,"Morning Run",0,"FALSE",2,"2016-09-08T12:38:06Z","2016-09-08T07:38:06Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",63.1,0,"FALSE","Run","776442120",NA,0
"32",3,1,"11307443",1,11.7684,1,"FALSE",7.5165,4122,176,138.6,38.65,-90.3,"D0991C17-1073-449C-AD52-8F3BCE7044DC","FALSE",NA,"FALSE","FALSE","695664772",1,"Saint Louis","United States","Missouri","FALSE","a695664772",2,"e}zjFz|cfPxg@lKxYdC`DcAu@qUnB{AzByVWeKxA{@VcE{Cew@TkF|BsB}CyOh@kRfAmMbK~BfA}AKyHsE_MiEkAsFvCmJd@mJuEqKrC_DwAuFhI}@~NcGvBsGfRq@xLzB~N_K`TaG`xA",17.28,2299,"Morning Run",0,"FALSE",2,"2016-08-31T14:51:04Z","2016-08-31T09:51:04Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",41.2,0,"FALSE","Run","766564821","0",0
"33",7,1,"11307443",1,12.2796,1,"FALSE",8.9502,3616,175.8,139,38.65,-90.3,"597EE937-48F2-420E-8080-E6612E7988C8","FALSE",NA,"FALSE","FALSE","690815232",1,"Saint Louis","United States","Missouri","FALSE","a690815232",2,"a`{jFj|cfPrf@hKn^~CnCoAToF{AyMzBeAzAoNr@aNo@sE~As@x@_U}AcGRuSsB{If@qGnB}A_DuPh@uQhAiMzJtC`AgAQiRwAcD{HyAmFnCeKp@oI_FkLjCqB}AkG`I_AtOyFpBiHvQg@|M`C|Mw@rGoHtGaHz}AzCvC",18.72,2624,"Morning Run",0,"FALSE",2,"2016-08-27T13:45:35Z","2016-08-27T08:45:35Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",54.1,0,"FALSE","Run","761257833","0",0
"34",5,1,"11307443",1,12.2328,0,"FALSE",8.0468,3416,175.9,139,38.65,-90.3,"6FC210AC-36C6-4208-BD30-C238A65F4673","FALSE",NA,"FALSE","FALSE","688564949",1,"Saint Louis","United States","Missouri","FALSE","a688564949",2,"y}zjFr|cfPde@lKj^jCxBiA_AoUrBaA[mBtBuIPeUxAkAx@eSaBwGTsSmAkIq@c_@|@iTt@mIzLxAi@yUuJwCoR|D_LyEcJnCsCyAcF~H{@jOoG`C}FxO{@~NxB`OeKnZcGrsAbDhC",20.52,2368,"Morning Run",0,"FALSE",2,"2016-08-25T13:52:43Z","2016-08-25T08:52:43Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",54.4,0,"FALSE","Run","758837774","0",0
